acdnt_no,serial_no,acdnt_year,acdnt_dd_dc,dfk_dc,tmzon_div_1_dc,occrrnc_time_dc,x_crdnt,y_crdnt,legaldong_code,legaldong_name,acdnt_hdc,acdnt_dc,road_stle_dc,acdnt_gae_dc,acdnt_age_2_dc,dmge_vhcle_asort_dc,injury_dgree_2_dc,wrngdo_vhcle_asort_dc,lrg_violt_1_dc,wether_sttus_dc,rdse_sttus_dc,dprs_cnt,sep_cnt,slp_cnt,lat,lon
2024011000100196,2024004208,2024,2024년  1월,수요일,주간,12시,958443.0,1951898.0,1120010200,서울특별시 성동구,차대사람,차대사람 - 차도통행중,교차로 - 교차로안,중상사고,65세 이상,보행자,중상,화물,안전운전불이행,맑음, 건조,0,1,0,37.565507683543736,127.02943537596703
2024011000100365,2024004367,2024,2024년  1월,수요일,야간,18시,957594.0,1951490.0,1114016200,서울특별시 중구,차대사람,차대사람 - 길가장자리구역통행중,단일로 - 기타,중상사고,65세 이상,보행자,중상,화물,안전운전불이행,흐림, 젖음/습기,0,1,0,37.56179156852966,127.01984575745956
2024011000100370,2024004372,2024,2024년  1월,수요일,야간,18시,961769.0,1943907.0,1168010600,서울특별시 강남구,차대사람,차대사람 - 횡단중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승합,안전운전불이행,맑음, 건조,0,0,1,37.49362599625568,127.06751189285316
2024011100100160,2024004695,2024,2024년  1월,목요일,주간,11시,953686.0,1951461.0,1114011400,서울특별시 중구,차대사람,차대사람 - 기타,단일로 - 기타,부상신고사고,65세 이상,보행자,부상신고,승합,안전운전불이행,맑음, 건조,0,0,0,37.561341940842965,126.97559975170243
2024011100100224,2024004754,2024,2024년  1월,목요일,주간,14시,954539.0,1949735.0,1117010200,서울특별시 용산구,차대사람,차대사람 - 기타,교차로 - 교차로부근,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.54582762558491,126.98536465697023
2024011100100227,2024004757,2024,2024년  1월,목요일,주간,14시,959553.0,1943824.0,1168011800,서울특별시 강남구,차대사람,차대사람 - 기타,단일로 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.49278345497915,127.04244867305387
2024011100100421,2024004941,2024,2024년  1월,목요일,야간,19시,960615.0,1964048.0,1135010500,서울특별시 노원구,차대사람,차대사람 - 기타,단일로 - 기타,경상사고,65세 이상,보행자,경상,자전거,안전운전불이행,맑음, 건조,0,0,1,37.67511362948673,127.05337435842192
2024011100100454,2024004973,2024,2024년  1월,목요일,야간,20시,958262.0,1961152.0,1132010500,서울특별시 도봉구,차대사람,차대사람 - 보도통행중,교차로 - 교차로안,중상사고,65세 이상,보행자,중상,원동기,기타,맑음, 건조,0,1,0,37.64890760209296,127.02685786399442
2024011200100041,2024005077,2024,2024년  1월,금요일,주간,06시,962543.0,1957778.0,1135010300,서울특별시 노원구,차대사람,차대사람 - 횡단중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,맑음, 건조,0,0,1,37.618681670197155,127.07555901250086
2024011200100055,2024005090,2024,2024년  1월,금요일,주간,07시,951646.0,1948610.0,1117011500,서울특별시 용산구,차대사람,차대사람 - 횡단중,기타 - 기타,중상사고,65세 이상,보행자,중상,승용,안전운전불이행,맑음, 건조,0,1,0,37.53554051279826,126.9526902796892
2024011200100141,2024005175,2024,2024년  1월,금요일,주간,10시,946371.0,1947703.0,1156011300,서울특별시 영등포구,차대사람,차대사람 - 차도통행중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,안전운전불이행,맑음, 건조,0,0,1,37.52707382017974,126.89305272657512
2024011200100170,2024005201,2024,2024년  1월,금요일,주간,11시,949404.0,1956791.0,1138010600,서울특별시 은평구,차대차,차대차 - 기타,단일로 - 기타,중상사고,51-60세,화물,기타불명,승용,신호위반,맑음, 건조,0,2,1,37.609156384363985,126.92674972913792
2024011200100296,2024005323,2024,2024년  1월,금요일,주간,15시,941935.0,1944980.0,1153010700,서울특별시 구로구,차대사람,차대사람 - 기타,교차로 - 교차로안,경상사고,65세 이상,보행자,경상,화물,안전운전불이행,맑음, 건조,0,0,1,37.50226261202538,126.8430662859644
2024011200100298,2024005325,2024,2024년  1월,금요일,주간,15시,959776.0,1963644.0,1132010800,서울특별시 도봉구,차대사람,차대사람 - 횡단중,교차로 - 교차로횡단보도내,경상사고,65세 이상,보행자,경상,승합,안전운전불이행,맑음, 건조,0,0,1,37.67143591939464,127.04388266702803
2024011200100363,2024005387,2024,2024년  1월,금요일,주간,17시,955065.0,1952502.0,1111015600,서울특별시 종로구,차대사람,차대사람 - 기타,기타 - 기타,경상사고,65세 이상,보행자,경상,승용,안전운전불이행,맑음, 기타,0,0,1,37.570793009526575,126.99114938262768
2024011200100364,2024005388,2024,2024년  1월,금요일,주간,17시,960309.0,1953352.0,1123010400,서울특별시 동대문구,차대사람,차대사람 - 차도통행중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,안전운전불이행,맑음, 건조,0,0,1,37.57869531534429,127.05048538299371
2024011300100075,2024005674,2024,2024년  1월,토요일,주간,08시,958049.0,1956186.0,1129013400,서울특별시 성북구,차대사람,차대사람 - 기타,단일로 - 기타,중상사고,65세 이상,보행자,중상,승합,안전운전불이행,맑음, 건조,0,1,0,37.60413853117967,127.02472845742871
2024011300100109,2024005708,2024,2024년  1월,토요일,주간,10시,949323.0,1944642.0,1159010800,서울특별시 동작구,차대사람,차대사람 - 횡단중,단일로 - 기타,경상사고,65세 이상,보행자,경상,승용,보행자보호의무위반,맑음, 건조,0,0,1,37.49965140233193,126.92667155941706
